ID,SetNumber,URL,Images,Description,Notes,DashedNumber
7243,70727,https://www.lego.com/biassets/bi/6091857.pdf,https://www.lego.com/biassets/biimg/6091857.png,X-1 Ninja Charger,BI 3004/24 - 70727 1/2 V29,70727-1
7244,70727,https://www.lego.com/biassets/bi/6091858.pdf,https://www.lego.com/biassets/biimg/6091858.png,X-1 Ninja Charger,BI 3004/24 - 70727 1/2 V39,70727-1
7245,70727,https://www.lego.com/biassets/bi/6091859.pdf,https://www.lego.com/biassets/biimg/6091859.png,X-1 Ninja Charger,BI 3017 / 60+4 - 65/115g-70727 2/2 V29,70727-1
7246,70727,https://www.lego.com/biassets/bi/6091860.pdf,https://www.lego.com/biassets/biimg/6091860.png,X-1 Ninja Charger,BI 3017 / 60+4 - 65/115g-70727 2/2 V39,70727-1
7247,70728,https://www.lego.com/biassets/bi/6091861.pdf,https://www.lego.com/biassets/biimg/6091861.png,Battle for Ninjago City,BI 3004 60/ 70728 1/3 V29,70728-1
7248,70728,https://www.lego.com/biassets/bi/6091862.pdf,https://www.lego.com/biassets/biimg/6091862.png,Battle for Ninjago City,BI 3004 60/ 70728 1/3 V39,70728-1
7249,70728,https://www.lego.com/biassets/bi/6091863.pdf,https://www.lego.com/biassets/biimg/6091863.png,Battle for Ninjago City,BI 3019/68+4*- 70728 2/3 V29,70728-1
7250,70728,https://www.lego.com/biassets/bi/6091869.pdf,https://www.lego.com/biassets/biimg/6091869.png,Battle for Ninjago City,BI 3019/68+4*- 70728 2/3 V39,70728-1
7251,70728,https://www.lego.com/biassets/bi/6091871.pdf,https://www.lego.com/biassets/biimg/6091871.png,Battle for Ninjago City,BI 3019/76+4*- 70728 3/3 V29,70728-1
7252,70728,https://www.lego.com/biassets/bi/6091872.pdf,https://www.lego.com/biassets/biimg/6091872.png,Battle for Ninjago City,BI 3019/76+4*- 70728 3/3 V39,70728-1
